iter	Logloss
0	0.6402728271
1	0.59662117
2	0.5536280823
3	0.5117662048
4	0.4789420319
5	0.4487427139
6	0.4194519043
7	0.397457962
8	0.3831663513
9	0.3684143829
10	0.3493305588
11	0.3353596115
12	0.3193216133
13	0.3046532059
14	0.2942577744
15	0.2842192459
16	0.2750680161
17	0.2671659088
18	0.2598355293
19	0.251696701
20	0.2459939194
21	0.2391749191
22	0.2338215065
23	0.2276079178
24	0.2235235977
25	0.2200296974
26	0.2141611099
27	0.2117499733
28	0.2081012535
29	0.2044123077
30	0.2009186554
31	0.1976629639
32	0.1949145126
33	0.1914740372
34	0.1894649887
35	0.1862324524
36	0.1812299347
37	0.178354969
38	0.1750464249
39	0.1733657837
40	0.1721118927
41	0.1699023247
42	0.1682878304
43	0.165863266
44	0.1636974716
45	0.1623364639
46	0.1600001526
47	0.1570612526
48	0.1550246906
49	0.1526176071
50	0.1505634212
51	0.1485312557
52	0.1471982002
53	0.1460882568
54	0.1438439846
55	0.1424630833
56	0.1404692745
57	0.1394718647
58	0.1377773094
59	0.1359493446
60	0.1345667648
61	0.1330558014
62	0.131907177
63	0.1309610939
64	0.129831562
65	0.129125309
66	0.1276928234
67	0.1262055969
68	0.1247082233
69	0.1233891869
70	0.1222950459
71	0.1207792377
72	0.1200758171
73	0.1187220764
74	0.1176836395
75	0.1169056702
76	0.1163488197
77	0.1151341152
78	0.1137261772
79	0.1125699139
80	0.1107415199
81	0.1092111492
82	0.108383522
83	0.1073731327
84	0.1061123753
85	0.1056273079
86	0.1045734501
87	0.1037533951
88	0.1026832962
89	0.1017567825
90	0.1011669922
91	0.1000544548
92	0.09929667473
93	0.09788788795
94	0.09700226784
95	0.0961810112
96	0.09541807175
97	0.09426952362
98	0.09323539734
99	0.09275058746
100	0.09196470261
101	0.09134645462
102	0.09007059097
103	0.08927997589
104	0.08804656982
105	0.08747631073
106	0.0865828228
107	0.08567552567
108	0.08473198891
109	0.08350667953
110	0.08264291763
111	0.08180517197
112	0.08074459076
113	0.07987806797
114	0.07924954414
115	0.07862225533
116	0.07797411919
117	0.07721837521
118	0.07626869678
119	0.07545021057
120	0.07488687038
121	0.07401164532
122	0.07377130985
123	0.07314416409
124	0.07246276855
125	0.07208162308
126	0.07159920216
127	0.07116417885
128	0.07064667702
129	0.07016973495
130	0.06960024834
131	0.06919295311
132	0.06879779816
133	0.06830461502
134	0.06775369644
135	0.06736029625
136	0.06701113224
137	0.06675028801
138	0.06603312016
139	0.06547746658
140	0.06505238533
141	0.06447199821
142	0.06428830624
143	0.06344945431
144	0.0626350975
145	0.06200057983
146	0.0616952467
147	0.06091804981
148	0.06034375191
149	0.06007492065
150	0.05958003521
151	0.05916910172
152	0.05894581318
153	0.05865218163
154	0.05827393532
155	0.05809100151
156	0.057667799
157	0.05697371006
158	0.05610412121
159	0.0559929657
160	0.05558472633
161	0.0550179863
162	0.05432782173
163	0.05399297714
164	0.05365864754
165	0.05313847542
166	0.05261518002
167	0.05220454216
168	0.05189630985
169	0.05162219048
170	0.05091756344
171	0.05078040123
172	0.05013212204
173	0.04949607849
174	0.04928907871
175	0.04918921947
176	0.04901132584
177	0.04861169338
178	0.04821466923
179	0.04779761314
180	0.04730229855
181	0.04702733994
182	0.04688276291
183	0.04657158852
184	0.04624951363
185	0.04604549408
186	0.04558712006
187	0.04521635056
188	0.04510957718
189	0.04483780384
190	0.04454569817
191	0.0442637825
192	0.04392146587
193	0.04364250183
194	0.04353351116
195	0.04328332901
196	0.04288578987
197	0.04269730568
198	0.04237691879
199	0.04216694355
200	0.04193181038
201	0.04169371605
202	0.04149054527
203	0.04120677948
204	0.04107183933
205	0.0409572506
206	0.040748806
207	0.04054968357
208	0.04026848793
209	0.03997412682
210	0.03986960411
211	0.03950188637
212	0.03923271656
213	0.03903541565
214	0.03886871576
215	0.03855277061
216	0.03833626747
217	0.03816966057
218	0.03785758972
219	0.03776004076
220	0.0374642992
221	0.03711939335
222	0.03684429646
223	0.03674040794
224	0.03645583153
225	0.03626568794
226	0.03611852646
227	0.03601108551
228	0.03593526363
229	0.03576448202
230	0.03565347672
231	0.03543702126
232	0.03516430378
233	0.03501731634
234	0.03473602772
235	0.03450768948
236	0.03423597097
237	0.03404091358
238	0.03361834526
239	0.03339579821
240	0.03304969072
241	0.03282036304
242	0.03246750116
243	0.03230181694
244	0.03223273039
245	0.03216627598
246	0.03169830322
247	0.03149900436
248	0.03116876602
249	0.03109728336
250	0.03084453106
251	0.03077549934
252	0.03070125103
253	0.03058021307
254	0.03051028728
255	0.03040528297
256	0.03020576239
257	0.03014656305
258	0.0300806427
259	0.02978243351
260	0.02957523823
261	0.0293591404
262	0.02922585011
263	0.02903793097
264	0.02897794485
265	0.02873071671
266	0.02848149538
267	0.02831126213
268	0.02806605339
269	0.02777938843
270	0.02766395569
271	0.02759132147
272	0.02739440918
273	0.02736484528
274	0.02709420443
275	0.02685872078
276	0.0266795826
277	0.02661532402
278	0.02645201921
279	0.02619968891
280	0.02605704308
281	0.02585259914
282	0.02571654797
283	0.02562057972
284	0.02538284302
285	0.02531981945
286	0.02518782377
287	0.02507472754
288	0.02492037773
289	0.02475140095
290	0.02456919193
291	0.02452871799
292	0.02438728809
293	0.02420891285
294	0.02396867514
295	0.02387250423
296	0.02372434855
297	0.02368254185
298	0.02364937782
299	0.02345900059
